utt_id,singer_id,technique,group,text,hypothesis,wer,per,wer_sub,wer_del,wer_ins,wer_n_ref
EN-Alto-1__breathy__technique__all_is_found__0000,EN-Alto-1,breathy,technique,where the north wind meets the sea,where the north wang meeds the sea,0.2857142857142857,0.23809523809523808,2,0,0,7
EN-Alto-1__breathy__technique__all_is_found__0001,EN-Alto-1,breathy,technique,theres a river full of memory sleep my darling safe and sound,there' sir rive full of memory see my darling safe and sam,0.4166666666666667,0.21951219512195122,5,0,0,12
EN-Alto-1__breathy__technique__all_is_found__0002,EN-Alto-1,breathy,technique,for in this river all is found,for in his river all te hais fan,0.5714285714285714,0.4,3,0,1,7
EN-Alto-1__breathy__technique__all_is_found__0003,EN-Alto-1,breathy,technique,in her waters deep and true,in hoa stapen tru,0.8333333333333334,0.4444444444444444,3,2,0,6
EN-Alto-1__breathy__technique__all_is_found__0004,EN-Alto-1,breathy,technique,lay the answers and a path for you dive down deep into her sound,lay the ansers and paass for you dike down dapin to harsaam,0.5714285714285714,0.25,6,2,0,14
EN-Alto-1__breathy__technique__all_is_found__0005,EN-Alto-1,breathy,technique,but not too far or youll be drowned,ben not too far or you be drnd,0.375,0.17391304347826086,3,0,0,8
EN-Alto-1__breathy__technique__all_is_found__0006,EN-Alto-1,breathy,technique,yes she will sing to those who hear,yes she ro san chidoso he,0.75,0.5714285714285714,4,2,0,8
EN-Alto-1__breathy__technique__all_is_found__0007,EN-Alto-1,breathy,technique,and in her song all magic flows,hersaa all magic ss,0.7142857142857143,0.6190476190476191,2,3,0,7
EN-Alto-1__breathy__technique__all_is_found__0008,EN-Alto-1,breathy,technique,but can you brave what you most fear can you face,look her yer brave wot yy mouse fe can you face,0.6363636363636364,0.375,7,0,0,11
EN-Alto-1__breathy__technique__all_is_found__0009,EN-Alto-1,breathy,technique,what the river knows,whether rever s,1.0,0.5833333333333334,3,1,0,4
EN-Alto-1__breathy__technique__all_is_found__0010,EN-Alto-1,breathy,technique,where the north wind meets the sea,where the north wand meets the seaa,0.2857142857142857,0.047619047619047616,2,0,0,7
EN-Alto-1__breathy__technique__all_is_found__0011,EN-Alto-1,breathy,technique,theres a mother full of memory,there's some other full of memory,0.3333333333333333,0.10526315789473684,2,0,0,6
EN-Alto-1__breathy__technique__all_is_found__0012,EN-Alto-1,breathy,technique,come my darling homeward bound when all is lost,co my darling home or brown when all his lost,0.5555555555555556,0.25,4,0,1,9
EN-Alto-1__breathy__technique__all_is_found__0013,EN-Alto-1,breathy,technique,then all is found,then all thes fnd,0.5,0.36363636363636365,2,0,0,4
EN-Alto-1__breathy__control__all_is_found__0000,EN-Alto-1,breathy,control,where the north wind meets the sea,where the north wind mates the seaa,0.2857142857142857,0.047619047619047616,2,0,0,7
EN-Alto-1__breathy__control__all_is_found__0001,EN-Alto-1,breathy,control,theres a river full of memory sleep my darling safe and sound,there's a rive foll of memory sleep my darling safe and saun,0.25,0.12195121951219512,3,0,0,12
EN-Alto-1__breathy__control__all_is_found__0002,EN-Alto-1,breathy,control,for in this river all is found,for in the hesh river all the has faan,0.7142857142857143,0.5,3,0,2,7
EN-Alto-1__breathy__control__all_is_found__0003,EN-Alto-1,breathy,control,in her waters deep and true,iin hawas dapan tru,1.0,0.3888888888888889,4,2,0,6
EN-Alto-1__breathy__control__all_is_found__0004,EN-Alto-1,breathy,control,lay the answers and a path for you dive down deep into her sound,laly and sirs an a pass for you dag down dil pin to hersa,0.7142857142857143,0.425,10,0,0,14
EN-Alto-1__breathy__control__all_is_found__0005,EN-Alto-1,breathy,control,but not too far or youll be drowned,but not too far or you be drnd,0.25,0.08695652173913043,2,0,0,8
EN-Alto-1__breathy__control__all_is_found__0006,EN-Alto-1,breathy,control,yes she will sing to those who hear,yes she was singing tu doso he,0.75,0.42857142857142855,5,1,0,8
EN-Alto-1__breathy__control__all_is_found__0007,EN-Alto-1,breathy,control,and in her song all magic flows,and enher sa all magic laas,0.5714285714285714,0.23809523809523808,3,1,0,7
EN-Alto-1__breathy__control__all_is_found__0008,EN-Alto-1,breathy,control,but can you brave what you most fear can you face,baca ye brave what ye mose fe yer can you faace,0.7272727272727273,0.375,6,1,1,11
