utt_id,singer_id,technique,group,text,hypothesis,wer,per,wer_sub,wer_del,wer_ins,wer_n_ref
EN-Alto-1__breathy__technique__all_is_found__0000,EN-Alto-1,breathy,technique,where the north wind meets the sea,where the north wind meets the sea,0.0,0.0,0,0,0,7
EN-Alto-1__breathy__technique__all_is_found__0001,EN-Alto-1,breathy,technique,theres a river full of memory sleep my darling safe and sound,"there's a river full of memory, sleep my darling safe and sound.",0.0,0.0,0,0,0,12
EN-Alto-1__breathy__technique__all_is_found__0002,EN-Alto-1,breathy,technique,for in this river all is found,for in this river all is found,0.0,0.0,0,0,0,7
EN-Alto-1__breathy__technique__all_is_found__0003,EN-Alto-1,breathy,technique,in her waters deep and true,"in her words, deep and true",0.16666666666666666,0.16666666666666666,1,0,0,6
EN-Alto-1__breathy__technique__all_is_found__0004,EN-Alto-1,breathy,technique,lay the answers and a path for you dive down deep into her sound,lay the answers and paths for you dive down deep into her sound,0.14285714285714285,0.075,1,1,0,14
EN-Alto-1__breathy__technique__all_is_found__0005,EN-Alto-1,breathy,technique,but not too far or youll be drowned,but not too far or you'll be drowned,0.0,0.0,0,0,0,8
EN-Alto-1__breathy__technique__all_is_found__0006,EN-Alto-1,breathy,technique,yes she will sing to those who hear,"yes, she will sing to those who are here",0.25,0.09523809523809523,1,0,1,8
EN-Alto-1__breathy__technique__all_is_found__0007,EN-Alto-1,breathy,technique,and in her song all magic flows,"in rehearsal, all magic falls",0.5714285714285714,0.38095238095238093,2,2,0,7
EN-Alto-1__breathy__technique__all_is_found__0008,EN-Alto-1,breathy,technique,but can you brave what you most fear can you face,oh can you brave what you most fear? can you face what you most fear?,0.45454545454545453,0.46875,1,0,4,11
EN-Alto-1__breathy__technique__all_is_found__0009,EN-Alto-1,breathy,technique,what the river knows,while the river knows,0.25,0.16666666666666666,1,0,0,4
EN-Alto-1__breathy__technique__all_is_found__0010,EN-Alto-1,breathy,technique,where the north wind meets the sea,where the north wind meets the sea,0.0,0.0,0,0,0,7
EN-Alto-1__breathy__technique__all_is_found__0011,EN-Alto-1,breathy,technique,theres a mother full of memory,"there's another, full of memory",0.3333333333333333,0.05263157894736842,1,1,0,6
EN-Alto-1__breathy__technique__all_is_found__0012,EN-Alto-1,breathy,technique,come my darling homeward bound when all is lost,come my darling homeward bound when all is lost,0.0,0.0,0,0,0,9
EN-Alto-1__breathy__technique__all_is_found__0013,EN-Alto-1,breathy,technique,then all is found,then all is found,0.0,0.0,0,0,0,4
EN-Alto-1__breathy__control__all_is_found__0000,EN-Alto-1,breathy,control,where the north wind meets the sea,where the north wind meets the sea,0.0,0.0,0,0,0,7
EN-Alto-1__breathy__control__all_is_found__0001,EN-Alto-1,breathy,control,theres a river full of memory sleep my darling safe and sound,there's a river full of memory sleep my darling safe and sound,0.0,0.0,0,0,0,12
EN-Alto-1__breathy__control__all_is_found__0002,EN-Alto-1,breathy,control,for in this river all is found,"for in this river, all is found",0.0,0.0,0,0,0,7
EN-Alto-1__breathy__control__all_is_found__0003,EN-Alto-1,breathy,control,in her waters deep and true,"in her words, deep and true",0.16666666666666666,0.16666666666666666,1,0,0,6
EN-Alto-1__breathy__control__all_is_found__0004,EN-Alto-1,breathy,control,lay the answers and a path for you dive down deep into her sound,let the answers in a pass for you dive down deep into her sound,0.21428571428571427,0.125,3,0,0,14
EN-Alto-1__breathy__control__all_is_found__0005,EN-Alto-1,breathy,control,but not too far or youll be drowned,but not too far or you'll be drowned,0.0,0.0,0,0,0,8
EN-Alto-1__breathy__control__all_is_found__0006,EN-Alto-1,breathy,control,yes she will sing to those who hear,"yes, she will sing to those who hear",0.0,0.0,0,0,0,8
EN-Alto-1__breathy__control__all_is_found__0007,EN-Alto-1,breathy,control,and in her song all magic flows,"and in her song, all magic flows",0.0,0.0,0,0,0,7
EN-Alto-1__breathy__control__all_is_found__0008,EN-Alto-1,breathy,control,but can you brave what you most fear can you face,but can you brave what you most fear? can you face,0.0,0.0,0,0,0,11
EN-Alto-1__breathy__control__all_is_found__0009,EN-Alto-1,breathy,control,what the river knows,where the river knows,0.25,0.16666666666666666,1,0,0,4
EN-Alto-1__breathy__control__all_is_found__0010,EN-Alto-1,breathy,control,where the north wind meets the sea,where the north wind meets the sea,0.0,0.0,0,0,0,7
EN-Alto-1__breathy__control__all_is_found__0011,EN-Alto-1,breathy,control,theres a mother full of memory,there's a mother full of memory,0.0,0.0,0,0,0,6
EN-Alto-1__breathy__control__all_is_found__0012,EN-Alto-1,breathy,control,come my darling homeward bound when all is lost,"come my darling homeward bound, when all is lost",0.0,0.0,0,0,0,9
EN-Alto-1__breathy__control__all_is_found__0013,EN-Alto-1,breathy,control,then all is found,then all is found,0.0,0.0,0,0,0,4
EN-Alto-1__breathy__speech__all_is_found__0000,EN-Alto-1,breathy,speech,where the north wind meets the sea,where the north wind meets the sea.,0.0,0.0,0,0,0,7
EN-Alto-1__breathy__speech__all_is_found__0001,EN-Alto-1,breathy,speech,theres a river full of memory sleep my darling safe and sound,there's a river full of memory. sleep my darling safe and sound.,0.0,0.0,0,0,0,12
EN-Alto-1__breathy__speech__all_is_found__0002,EN-Alto-1,breathy,speech,for in this river all is found,"for in this river all is found, in her waters deep and true, lie the answers and a path for you. dive down deep into her sound, but not too far or you'll be drowned.",4.0,4.05,0,0,28,7
EN-Alto-1__breathy__speech__all_is_found__0003,EN-Alto-1,breathy,speech,in her waters deep and true,"yes, she will sing to those who'll die.",1.3333333333333333,1.1111111111111112,6,0,2,6
EN-Alto-1__breathy__speech__all_is_found__0004,EN-Alto-1,breathy,speech,lay the answers and a path for you dive down deep into her sound,here and in her song of magic flows.,0.9285714285714286,0.85,7,6,0,14
EN-Alto-1__breathy__speech__all_is_found__0005,EN-Alto-1,breathy,speech,but not too far or youll be drowned,but can you brave what you most fear? can you face what the river knows?,1.75,1.391304347826087,7,0,7,8
EN-Alto-1__breathy__speech__all_is_found__0006,EN-Alto-1,breathy,speech,yes she will sing to those who hear,where the north wind meets the sea,1.0,0.9523809523809523,7,1,0,8
EN-Alto-1__breathy__speech__all_is_found__0007,EN-Alto-1,breathy,speech,and in her song all magic flows,there's a mother full of memory.,1.0,0.9523809523809523,6,1,0,7
EN-Alto-1__breathy__speech__all_is_found__0008,EN-Alto-1,breathy,speech,but can you brave what you most fear can you face,call my darling homeward bound.,1.0,0.90625,5,6,0,11
EN-Alto-1__breathy__speech__all_is_found__0009,EN-Alto-1,breathy,speech,what the river knows,"when all is lost, then all is found.",2.0,1.5,4,0,4,4
EN-Alto-1__breathy__speech__all_is_found__0010,EN-Alto-1,breathy,speech,where the north wind meets the sea,where the north wind meets the sea.,0.0,0.0,0,0,0,7
EN-Alto-1__breathy__speech__all_is_found__0011,EN-Alto-1,breathy,speech,theres a mother full of memory,there's a mother full of memory.,0.0,0.0,0,0,0,6
EN-Alto-1__breathy__speech__all_is_found__0012,EN-Alto-1,breathy,speech,come my darling homeward bound when all is lost,call my darling homeward bound when all is lost,0.1111111111111111,0.0625,1,0,0,9
EN-Alto-1__breathy__speech__all_is_found__0013,EN-Alto-1,breathy,speech,then all is found,then all is found.,0.0,0.0,0,0,0,4
EN-Alto-1__breathy__technique__innocence__0000,EN-Alto-1,breathy,technique,waking up i see that everything is okay the first time in my life and now its so great,waking up i see that everything is okay the first time in life i know it's so great,0.15789473684210525,0.10909090909090909,2,1,0,19
EN-Alto-1__breathy__technique__innocence__0001,EN-Alto-1,breathy,technique,slowing down i look around and i am so amazed i think about the little things that make life great,slowing down i took a run and i'm so amazed i think about the little things that make life great,0.25,0.11290322580645161,3,1,1,20
EN-Alto-1__breathy__technique__innocence__0002,EN-Alto-1,breathy,technique,i wouldnt change a thing about it this is the best,i wouldn't change a thing about it this is the best feeling,0.09090909090909091,0.15151515151515152,0,0,1,11
EN-Alto-1__breathy__technique__innocence__0003,EN-Alto-1,breathy,technique,feeling this innocence is brilliant,"this innocence, this freedom",0.6,0.52,2,1,0,5
EN-Alto-1__breathy__technique__innocence__0004,EN-Alto-1,breathy,technique,i hope that it will stay this moment is perfect,"i hope that it will stay, this moment is perfect",0.0,0.0,0,0,0,10
EN-Alto-1__breathy__technique__innocence__0005,EN-Alto-1,breathy,technique,please dont go away i need you now,"please don't go away, i need you now",0.0,0.0,0,0,0,8
EN-Alto-1__breathy__technique__innocence__0006,EN-Alto-1,breathy,technique,and ill hold on to it dont you let it pass you by,and i'll hold on to it don't you let it pass you by,0.0,0.0,0,0,0,13
EN-Alto-1__breathy__technique__innocence__0007,EN-Alto-1,breathy,technique,i found a place so safe not a single tear,"i found a place, all safe, not a single tear",0.1,0.07142857142857142,1,0,0,10
EN-Alto-1__breathy__technique__innocence__0008,EN-Alto-1,breathy,technique,the first time in my life and now its so clear feel calm i belong im so happy here,the first time in life and it's all so clear feel like i'm a belong to my happy year,0.47368421052631576,0.3018867924528302,7,1,1,19
EN-Alto-1__breathy__technique__innocence__0009,EN-Alto-1,breathy,technique,its so strong and now i let myself be sincere i wouldnt change a thing about it,it's so strong and i'll let myself be sincere i wouldn't change a thing about it,0.11764705882352941,0.05454545454545454,1,1,0,17
EN-Alto-1__breathy__technique__innocence__0010,EN-Alto-1,breathy,technique,this is the best feeling,this is the best feeling,0.0,0.0,0,0,0,5
EN-Alto-1__breathy__technique__innocence__0011,EN-Alto-1,breathy,technique,this innocence is brilliant i hope that it will stay this moment,this innocence is free and i hope that it will stay this moment,0.16666666666666666,0.11363636363636363,1,0,1,12
EN-Alto-1__breathy__technique__innocence__0012,EN-Alto-1,breathy,technique,is perfect please dont go away i need you now,"it's perfect, please don't go away i need you now",0.1,0.06896551724137931,1,0,0,10
EN-Alto-1__breathy__technique__innocence__0013,EN-Alto-1,breathy,technique,and ill hold on to it dont you let it pass you by,and i hold on to it don't you let it pass you by,0.07692307692307693,0.06060606060606061,1,0,0,13
EN-Alto-1__breathy__control__innocence__0000,EN-Alto-1,breathy,control,waking up i see that everything is okay the first time in my life and now its so great,waking up i see that everything is okay the first time in life i know that's so great,0.21052631578947367,0.12727272727272726,3,1,0,19
EN-Alto-1__breathy__control__innocence__0001,EN-Alto-1,breathy,control,slowing down i look around and i am so amazed i think about the little things that make life great,slowing down i look around and i'm so amazed i think about the little things that make life great,0.1,0.03225806451612903,1,1,0,20
EN-Alto-1__breathy__control__innocence__0002,EN-Alto-1,breathy,control,i wouldnt change a thing about it this is the best,i wouldn't change a thing about it this is the best thing,0.09090909090909091,0.09090909090909091,0,0,1,11
EN-Alto-1__breathy__control__innocence__0003,EN-Alto-1,breathy,control,feeling this innocence is brilliant,"this innocent, this pretty, and i'm so in love with you",2.0,1.04,4,0,6,5
EN-Alto-1__breathy__control__innocence__0004,EN-Alto-1,breathy,control,i hope that it will stay this moment is perfect,"i hope that it will stay, this moment is perfect",0.0,0.0,0,0,0,10
EN-Alto-1__breathy__control__innocence__0005,EN-Alto-1,breathy,control,please dont go away i need you now,"please don't go away, i need you now",0.0,0.0,0,0,0,8
EN-Alto-1__breathy__control__innocence__0006,EN-Alto-1,breathy,control,and ill hold on to it dont you let it pass you by,and i hold on to it don't you let it pass you by,0.07692307692307693,0.06060606060606061,1,0,0,13
EN-Alto-1__breathy__control__innocence__0007,EN-Alto-1,breathy,control,i found a place so safe not a single tear,"i found a place so safe, not a single tear",0.0,0.0,0,0,0,10
EN-Alto-1__breathy__control__innocence__0008,EN-Alto-1,breathy,control,the first time in my life and now its so clear feel calm i belong im so happy here,"the first time in life and now it's so clear feel calm, i'm built on and i'm so happy here",0.2631578947368421,0.20754716981132076,2,1,2,19
EN-Alto-1__breathy__control__innocence__0009,EN-Alto-1,breathy,control,its so strong and now i let myself be sincere i wouldnt change a thing about it,it's so strong and now i've made myself be sincere i wouldn't change a thing about it,0.11764705882352941,0.07272727272727272,2,0,0,17
EN-Alto-1__breathy__control__innocence__0010,EN-Alto-1,breathy,control,this is the best feeling,this is the best feeling,0.0,0.0,0,0,0,5
EN-Alto-1__breathy__control__innocence__0011,EN-Alto-1,breathy,control,this innocence is brilliant i hope that it will stay this moment,"this innocence, this beauty and i hope that it will stay this moment",0.25,0.1590909090909091,2,0,1,12
EN-Alto-1__breathy__control__innocence__0012,EN-Alto-1,breathy,control,is perfect please dont go away i need you now,"it's perfect, please don't go away i need you now",0.1,0.06896551724137931,1,0,0,10
EN-Alto-1__breathy__control__innocence__0013,EN-Alto-1,breathy,control,and ill hold on to it dont you let it pass you by,and i'll hold on to it don't you dare to pass it by,0.23076923076923078,0.18181818181818182,3,0,0,13
EN-Alto-1__breathy__speech__innocence__0000,EN-Alto-1,breathy,speech,waking up i see that everything is okay the first time in my life and now its so great,waking up i see that everything is okay. the first time in my life and now it's so great.,0.0,0.0,0,0,0,19
EN-Alto-1__breathy__speech__innocence__0001,EN-Alto-1,breathy,speech,slowing down i look around and i am so amazed i think about the little things that make life great,slowing down i look around and i am so amazed. i think about the little things that make life great.,0.0,0.0,0,0,0,20
EN-Alto-1__breathy__speech__innocence__0002,EN-Alto-1,breathy,speech,i wouldnt change a thing about it this is the best,i wanna change a thing about it. this is the best,0.09090909090909091,0.15151515151515152,1,0,0,11
EN-Alto-1__breathy__speech__innocence__0003,EN-Alto-1,breathy,speech,feeling this innocence is brilliant,filling. this innocent is brilliant.,0.4,0.08,2,0,0,5
